time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-04-30T09:46:21.910Z,6.7984,-73.0539,155.41,4.3,mb,,70,0.865,1.17,us,usb000q52g,2014-04-30T10:21:38.000Z,"12km NNW of Aratoca, Colombia",earthquake
2014-04-30T09:43:56.000Z,61.8566,-151.6404,91.5,1.9,ml,,,,0.79,ak,ak11246436,2014-04-30T09:52:00.556Z,"85km W of Willow, Alaska",earthquake
2014-04-30T09:41:37.000Z,62.5251,-151.0238,75.1,1.3,ml,,,,0.8,ak,ak11246433,2014-04-30T09:46:07.233Z,"52km WNW of Talkeetna, Alaska",earthquake
2014-04-30T09:33:15.000Z,60.6344,-143.2323,28.2,1.7,ml,,,,0.65,ak,ak11246430,2014-04-30T09:40:48.402Z,"77km NW of Cape Yakataga, Alaska",earthquake
2014-04-30T09:31:30.000Z,63.8251,-148.4182,100,1.4,ml,,,,0.31,ak,ak11246416,2014-04-30T09:35:31.321Z,"27km E of Healy, Alaska",earthquake
2014-04-30T09:31:29.000Z,58.8932,-150.3588,19,3,ml,,,,0.6,ak,ak11246417,2014-04-30T09:41:16.618Z,"107km SE of Homer, Alaska",earthquake
2014-04-30T09:24:21.000Z,63.1359,-149.6154,81.6,1.6,ml,,,,0.57,ak,ak11246411,2014-04-30T09:29:23.771Z,"43km SW of Cantwell, Alaska",earthquake
2014-04-30T09:18:46.260Z,-5.4912,146.6951,207.22,4.6,mb,,77,3.915,0.68,us,usb000q51d,2014-04-30T09:39:50.000Z,"103km ESE of Madang, Papua New Guinea",earthquake
2014-04-30T09:10:33.000Z,61.49,-146.5862,15.4,2.5,ml,,,,0.7,ak,ak11246401,2014-04-30T09:19:20.486Z,"42km NNW of Valdez, Alaska",earthquake
2014-04-30T08:52:51.400Z,38.8053,-122.8588,10.3,0.3,Md,9,169.2,0.02694946,0.07,nc,nc72212406,2014-04-30T09:31:03.934Z,"9km WNW of The Geysers, California",earthquake
2014-04-30T08:29:54.110Z,33.9066658,-117.9333344,0.07,1.16,ml,27,83,0.03944,0.28,ci,ci37218712,2014-04-30T08:32:49.924Z,"3km SSE of La Habra, California",earthquake
2014-04-30T08:11:42.600Z,19.2196,-64.6526,51,3,Md,4,306,0.7995006,0.27,pr,pr14120000,2014-04-30T12:07:46.170Z,"88km N of Road Town, British Virgin Islands",earthquake
2014-04-30T08:11:26.820Z,37.6455002,-118.9456635,7.64,1.85,md,13,74,0.02103,0.02,nc,nc72212376,2014-04-30T13:07:07.076Z,"2km E of Mammoth Lakes, California",earthquake
2014-04-30T07:48:09.740Z,36.5748,-97.7719,5,3.1,mb_lg,,39,0.184,0.84,us,usb000q4zm,2014-04-30T11:18:13.302Z,"22km NNE of Enid, Oklahoma",earthquake
2014-04-30T07:47:21.900Z,38.8222,-122.8082,3.3,1.6,Md,9,136.8,0,0.02,nc,nc72212351,2014-04-30T12:33:08.501Z,"6km NW of The Geysers, California",earthquake
2014-04-30T07:30:27.000Z,62.1861,-151.7062,95,1.6,ml,,,,1.2,ak,ak11246377,2014-04-30T07:35:35.598Z,"84km W of Talkeetna, Alaska",earthquake
2014-04-30T07:19:14.200Z,36.2805,-120.333,18.3,1.8,Md,4,136.8,0.17966306,0.07,nc,nc72212321,2014-04-30T11:27:11.413Z,"15km N of Coalinga, California",earthquake
2014-04-30T07:18:02.000Z,38.8048,-122.8152,7.1,0.9,Md,14,111.6,0.00898315,0.12,nc,nc72212311,2014-04-30T10:09:02.973Z,"5km WNW of The Geysers, California",earthquake
2014-04-30T07:10:45.000Z,61.1592,-147.0187,5.2,1.6,ml,,,,1.18,ak,ak11246374,2014-04-30T07:18:40.031Z,"36km W of Valdez, Alaska",earthquake
2014-04-30T07:07:20.000Z,61.1136,-147.007,1.2,1.7,ml,,,,0.87,ak,ak11246372,2014-04-30T07:10:32.323Z,"35km W of Valdez, Alaska",earthquake
2014-04-30T06:55:40.320Z,38.8429985,-122.8421631,2.72,0.51,md,15,79,0.006824,0.02,nc,nc72212286,2014-04-30T07:32:06.301Z,"10km WNW of Cobb, California",earthquake
2014-04-30T06:52:14.800Z,36.5678,-89.3078,23.4,2.1,md,34,64.7999948160004,0.07186522,0.06,nm,nm60070366,2014-04-30T12:50:30.839Z,"10km W of Hickman, Kentucky",earthquake
2014-04-30T06:51:09.000Z,62.5938,-148.9124,0,1.4,ml,,,,0.65,ak,ak11246369,2014-04-30T06:56:58.555Z,"68km NE of Y, Alaska",earthquake
2014-04-30T06:49:44.700Z,38.8433,-122.8408,2.7,1.7,Md,32,64.8,0.01796631,0.03,nc,nc72212281,2014-04-30T10:51:07.568Z,"10km WNW of Cobb, California",earthquake
